topology: 3 3
out: 0 1 0
in: 10 13 35
out: 0 0 1
in: 143 50 123
out: 1 0 0
in: 219 66 111
out: 1 0 0
in: 89 162 152
out: 0 1 0
in: 114 156 159
out: 0 0 1
in: 245 90 179
out: 1 0 0
in: 70 159 75
out: 0 1 0
in: 187 178 158
out: 0 1 0
in: 11 79 113
out: 0 0 1
in: 110 36 146
out: 0 0 1
in: 205 193 187
out: 0 1 0
in: 37 202 148
out: 0 1 0
in: 19 69 66
out: 0 1 0
in: 78 110 252
out: 0 0 1
in: 76 151 216
out: 0 0 1
in: 222 107 71
out: 1 0 0
in: 226 58 164
out: 1 0 0
in: 56 162 120
out: 0 1 0
in: 0 93 13
out: 0 1 0
in: 126 15 95
out: 1 0 0
in: 45 211 15
out: 0 1 0
in: 97 150 252
out: 0 0 1
in: 53 156 178
out: 0 0 1
in: 93 26 127
out: 0 0 1
in: 238 134 7
out: 1 0 0
in: 175 35 151
out: 1 0 0
in: 72 207 121
out: 0 1 0
in: 168 133 194
out: 0 0 1
in: 90 109 98
out: 0 1 0
in: 55 59 25
out: 0 1 0
in: 74 236 77
out: 0 1 0
in: 126 112 185
out: 0 0 1
in: 86 66 141
out: 0 0 1
in: 21 74 70
out: 0 1 0
in: 86 250 45
out: 0 1 0
in: 139 252 241
out: 0 1 0
in: 22 40 159
out: 0 0 1
in: 23 140 242
out: 0 0 1
in: 105 44 67
out: 1 0 0
in: 21 47 106
out: 0 0 1
in: 224 27 73
out: 1 0 0
in: 84 212 61
out: 0 1 0
in: 7 17 124
out: 0 0 1
in: 29 217 209
out: 0 1 0
in: 23 48 1
out: 0 1 0
in: 72 159 6
out: 0 1 0
in: 120 25 88
out: 1 0 0
in: 233 66 19
out: 1 0 0
in: 8 242 203
out: 0 1 0
in: 147 67 138
out: 0 0 1
in: 164 247 205
out: 0 1 0
in: 230 253 45
out: 0 1 0
in: 38 156 70
out: 0 1 0
in: 114 58 76
out: 1 0 0
in: 20 41 33
out: 0 1 0
in: 246 76 90
out: 1 0 0
in: 28 46 201
out: 0 0 1
in: 170 86 233
out: 0 0 1
in: 18 71 132
out: 0 0 1
in: 96 250 147
out: 0 1 0
in: 123 174 86
out: 0 1 0
in: 162 213 102
out: 0 1 0
in: 24 84 60
out: 0 1 0
in: 140 168 222
out: 0 0 1
in: 207 240 8
out: 0 1 0
in: 182 68 79
out: 1 0 0
in: 61 20 237
out: 0 0 1
in: 72 230 19
out: 0 1 0
in: 206 148 188
out: 0 0 1
in: 178 108 247
out: 0 0 1
in: 248 71 153
out: 1 0 0
in: 94 15 32
out: 1 0 0
in: 108 220 60
out: 0 1 0
in: 194 136 235
out: 0 0 1
in: 54 78 41
out: 0 1 0
in: 76 86 153
out: 0 0 1
in: 59 216 51
out: 0 1 0
in: 18 152 238
out: 0 0 1
in: 178 217 158
out: 0 1 0
in: 92 124 229
out: 0 0 1
in: 19 12 163
out: 0 0 1
in: 64 102 143
out: 0 0 1
in: 110 74 138
out: 0 0 1
in: 88 55 34
out: 1 0 0
in: 167 213 223
out: 0 0 1
in: 14 144 151
out: 0 0 1
in: 105 68 160
out: 0 0 1
in: 150 79 35
out: 1 0 0
in: 41 146 224
out: 0 0 1
in: 65 0 119
out: 0 0 1
in: 73 51 220
out: 0 0 1
in: 152 8 125
out: 1 0 0
in: 151 211 195
out: 0 1 0
in: 114 72 149
out: 0 0 1
in: 177 185 238
out: 0 0 1
in: 63 230 240
out: 0 0 1
in: 154 222 170
out: 0 1 0
in: 185 89 223
out: 0 0 1
in: 35 223 124
out: 0 1 0
in: 68 119 184
out: 0 0 1
in: 162 67 110
out: 1 0 0
in: 94 182 240
out: 0 0 1
in: 72 164 20
out: 0 1 0
in: 95 235 148
out: 0 1 0
in: 243 50 115
out: 1 0 0
in: 238 85 187
out: 1 0 0
in: 209 244 192
out: 0 1 0
in: 237 208 0
out: 0 1 0
in: 77 202 62
out: 0 1 0
in: 55 62 43
out: 0 1 0
in: 115 40 235
out: 0 0 1
in: 212 165 60
out: 0 1 0
in: 68 220 0
out: 0 1 0
in: 224 232 23
out: 0 1 0
in: 144 218 221
out: 0 0 1
in: 140 179 27
out: 0 1 0
in: 76 41 109
out: 0 0 1
in: 246 249 36
out: 0 1 0
in: 84 40 228
out: 0 0 1
in: 102 225 233
out: 0 0 1
in: 203 222 101
out: 0 1 0
in: 249 157 118
out: 1 0 0
in: 19 155 100
out: 0 1 0
in: 223 178 23
out: 0 1 0
in: 180 117 96
out: 1 0 0
in: 36 186 135
out: 0 1 0
in: 186 139 179
out: 0 0 1
in: 174 58 138
out: 1 0 0
in: 117 251 209
out: 0 1 0
in: 172 103 100
out: 1 0 0
in: 84 90 46
out: 0 1 0
in: 232 22 61
out: 1 0 0
in: 72 129 189
out: 0 0 1
in: 112 249 74
out: 0 1 0
in: 207 194 190
out: 0 1 0
in: 155 13 85
out: 1 0 0
in: 72 201 131
out: 0 1 0
in: 164 9 42
out: 1 0 0
in: 63 169 41
out: 0 1 0
in: 6 221 87
out: 0 1 0
in: 91 24 150
out: 0 0 1
in: 17 115 5
out: 0 1 0
in: 201 193 65
out: 0 1 0
in: 197 110 233
out: 0 0 1
in: 193 155 246
out: 0 0 1
in: 104 197 234
out: 0 0 1
in: 120 20 107
out: 1 0 0
in: 38 112 183
out: 0 0 1
in: 78 173 119
out: 0 1 0
in: 102 233 210
out: 0 1 0
in: 99 230 196
out: 0 1 0
in: 67 188 200
out: 0 0 1
in: 163 133 246
out: 0 0 1
in: 225 219 239
out: 0 0 1
in: 118 132 81
out: 0 1 0
in: 62 194 80
out: 0 1 0
in: 124 0 128
out: 0 0 1
in: 67 19 210
out: 0 0 1
in: 252 134 59
out: 1 0 0
in: 45 75 78
out: 0 0 1
in: 184 135 175
out: 0 0 1
in: 48 98 114
out: 0 0 1
in: 244 109 38
out: 1 0 0
in: 144 159 140
out: 0 1 0
in: 217 60 7
out: 1 0 0
in: 253 231 37
out: 0 1 0
in: 143 44 17
out: 1 0 0
in: 76 93 83
out: 0 1 0
in: 114 176 82
out: 0 1 0
in: 130 82 175
out: 0 0 1
in: 201 65 229
out: 0 0 1
in: 42 87 93
out: 0 0 1
in: 65 104 212
out: 0 0 1
in: 197 118 46
out: 1 0 0
in: 183 121 1
out: 0 1 0
in: 191 51 17
out: 1 0 0
in: 254 108 18
out: 1 0 0
in: 113 14 49
out: 1 0 0
in: 149 52 207
out: 0 0 1
in: 244 111 177
out: 1 0 0
in: 249 200 215
out: 0 0 1
in: 35 75 39
out: 0 1 0
in: 202 218 224
out: 0 0 1
in: 24 238 109
out: 0 1 0
in: 47 73 32
out: 0 1 0
in: 236 147 108
out: 1 0 0
in: 128 178 88
out: 0 1 0
in: 66 228 42
out: 0 1 0
in: 81 181 33
out: 0 1 0
in: 216 186 239
out: 0 0 1
in: 207 173 169
out: 0 1 0
in: 150 17 207
out: 0 0 1
in: 45 117 121
out: 0 0 1
in: 117 191 235
out: 0 0 1
in: 26 180 140
out: 0 1 0
in: 154 53 234
out: 0 0 1
in: 220 103 179
out: 1 0 0
in: 25 151 146
out: 0 1 0
in: 142 48 71
out: 1 0 0
in: 188 156 159
out: 0 0 1
in: 248 248 119
out: 0 1 0
in: 133 30 123
out: 0 0 1
in: 94 232 180
out: 0 1 0
in: 62 124 2
out: 0 1 0
in: 18 71 211
out: 0 0 1
in: 153 27 62
out: 1 0 0
in: 155 33 143
out: 0 0 1
in: 66 234 82
out: 0 1 0
in: 190 108 233
out: 0 0 1
in: 9 155 227
out: 0 0 1
in: 18 168 48
out: 0 1 0
in: 68 82 0
out: 0 1 0
in: 130 90 191
out: 0 0 1
in: 37 139 54
out: 0 1 0
in: 109 221 233
out: 0 0 1
in: 52 144 145
out: 0 0 1
in: 254 152 75
out: 1 0 0
in: 55 201 211
out: 0 0 1
in: 2 106 103
out: 0 1 0
in: 10 104 181
out: 0 0 1
in: 146 214 207
out: 0 1 0
in: 114 210 41
out: 0 1 0
in: 127 7 154
out: 0 0 1
in: 6 47 99
out: 0 0 1
in: 210 145 31
out: 0 1 0
in: 120 194 33
out: 0 1 0
in: 117 181 218
out: 0 0 1
in: 154 123 25
out: 0 1 0
in: 75 116 236
out: 0 0 1
in: 196 31 50
out: 1 0 0
in: 184 136 221
out: 0 0 1
in: 37 178 204
out: 0 0 1
in: 228 36 211
out: 0 0 1
in: 204 38 126
out: 1 0 0
in: 37 61 0
out: 0 1 0
in: 27 251 101
out: 0 1 0
in: 5 176 18
out: 0 1 0
in: 150 57 54
out: 1 0 0
in: 87 206 246
out: 0 0 1
in: 141 50 78
out: 1 0 0
in: 169 0 23
out: 1 0 0
in: 224 18 219
out: 0 0 1
in: 15 231 189
out: 0 1 0
in: 112 218 79
out: 0 1 0
in: 154 206 208
out: 0 0 1
in: 215 69 190
out: 0 0 1
in: 138 183 88
out: 0 1 0
in: 147 30 232
out: 0 0 1
in: 219 111 162
out: 1 0 0
in: 55 160 109
out: 0 1 0
in: 120 134 163
out: 0 0 1
in: 93 158 24
out: 0 1 0
in: 40 124 27
out: 0 1 0
in: 121 142 111
out: 0 1 0
in: 212 172 95
out: 0 1 0
in: 13 56 56
out: 0 0 1
in: 252 250 238
out: 0 1 0
in: 40 210 87
out: 0 1 0
in: 198 119 25
out: 0 1 0
in: 86 195 176
out: 0 1 0
in: 70 127 87
out: 0 1 0
in: 5 141 155
out: 0 0 1
in: 23 56 168
out: 0 0 1
in: 132 104 83
out: 0 1 0
in: 253 200 145
out: 0 1 0
in: 180 245 6
out: 0 1 0
in: 82 30 51
out: 1 0 0
in: 23 177 192
out: 0 0 1
in: 144 93 135
out: 0 0 1
in: 188 2 129
out: 1 0 0
in: 44 33 210
out: 0 0 1
in: 130 114 54
out: 0 1 0
in: 159 95 174
out: 0 0 1
in: 136 187 76
out: 0 1 0
in: 158 119 62
out: 0 1 0
in: 106 3 94
out: 1 0 0
in: 77 106 182
out: 0 0 1
in: 133 61 204
out: 0 0 1
in: 167 31 175
out: 0 0 1
in: 25 212 71
out: 0 1 0
in: 51 112 41
out: 0 1 0
in: 106 232 38
out: 0 1 0
in: 226 134 4
out: 0 1 0
in: 40 161 187
out: 0 0 1
in: 123 39 144
out: 0 0 1
in: 109 166 36
out: 0 1 0
in: 98 75 221
out: 0 0 1
in: 203 193 81
out: 0 1 0
in: 127 76 169
out: 0 0 1
in: 83 7 88
out: 0 0 1
in: 32 197 58
out: 0 1 0
in: 154 193 175
out: 0 1 0
in: 203 210 178
out: 0 1 0
in: 72 51 212
out: 0 0 1
in: 211 223 120
out: 0 1 0
in: 38 193 235
out: 0 0 1
in: 0 208 136
out: 0 1 0
in: 174 146 199
out: 0 0 1
in: 21 240 137
out: 0 1 0
in: 5 88 45
out: 0 1 0
in: 86 146 142
out: 0 1 0
in: 92 33 133
out: 0 0 1
in: 246 215 186
out: 0 1 0
in: 135 116 193
out: 0 0 1
in: 221 204 201
out: 0 1 0
in: 168 214 8
out: 0 1 0
in: 155 211 193
out: 0 1 0
in: 7 225 189
out: 0 1 0
in: 176 19 52
out: 1 0 0
in: 171 194 13
out: 0 1 0
in: 237 194 139
out: 0 1 0
in: 78 242 24
out: 0 1 0
in: 188 94 98
out: 1 0 0
in: 148 38 247
out: 0 0 1
in: 108 23 92
out: 1 0 0
in: 104 25 168
out: 0 0 1
in: 188 65 80
out: 1 0 0
in: 5 57 57
out: 0 0 1
in: 127 99 166
out: 0 0 1
in: 184 217 183
out: 0 1 0
in: 68 90 228
out: 0 0 1
in: 11 21 55
out: 0 0 1
in: 94 1 178
out: 0 0 1
in: 148 207 191
out: 0 1 0
in: 93 214 68
out: 0 1 0
in: 225 147 167
out: 1 0 0
in: 26 58 22
out: 0 1 0
in: 124 57 65
out: 1 0 0
in: 134 65 147
out: 0 0 1
in: 78 184 144
out: 0 1 0
in: 74 156 107
out: 0 1 0
in: 117 130 234
out: 0 0 1
in: 200 56 169
out: 1 0 0
in: 201 41 126
out: 1 0 0
in: 170 17 241
out: 0 0 1
in: 35 27 119
out: 0 0 1
in: 117 75 190
out: 0 0 1
in: 164 10 229
out: 0 0 1
in: 56 102 206
out: 0 0 1
in: 69 156 38
out: 0 1 0
in: 193 252 49
out: 0 1 0
in: 19 174 88
out: 0 1 0
in: 55 177 42
out: 0 1 0
in: 152 195 156
out: 0 1 0
in: 26 179 218
out: 0 0 1
in: 31 11 187
out: 0 0 1
in: 29 153 144
out: 0 1 0
in: 115 58 201
out: 0 0 1
in: 238 223 37
out: 0 1 0
in: 75 93 217
out: 0 0 1
in: 98 53 63
out: 1 0 0
in: 222 57 184
out: 1 0 0
in: 131 172 50
out: 0 1 0
in: 196 64 127
out: 1 0 0
in: 214 85 193
out: 0 0 1
in: 158 29 104
out: 1 0 0
in: 121 216 78
out: 0 1 0
in: 81 160 234
out: 0 0 1
in: 17 168 139
out: 0 1 0
in: 58 62 2
out: 0 1 0
in: 16 86 210
out: 0 0 1
in: 94 216 52
out: 0 1 0
in: 67 117 248
out: 0 0 1
in: 2 26 61
out: 0 0 1
in: 6 206 165
out: 0 1 0
in: 84 221 237
out: 0 0 1
in: 90 189 50
out: 0 1 0
in: 244 215 152
out: 0 1 0
in: 183 234 188
out: 0 1 0
in: 3 142 60
out: 0 1 0
in: 104 1 99
out: 0 0 1
in: 73 139 52
out: 0 1 0
in: 220 201 252
out: 0 0 1
in: 99 247 247
out: 0 0 1
in: 217 62 233
out: 0 0 1
in: 154 66 246
out: 0 0 1
in: 197 106 171
out: 0 0 1
in: 1 134 18
out: 0 1 0
in: 86 142 116
out: 0 1 0
in: 61 48 162
out: 0 0 1
in: 126 64 106
out: 0 0 1
in: 60 7 143
out: 0 0 1
in: 52 57 132
out: 0 0 1
in: 33 166 160
out: 0 1 0
in: 123 248 58
out: 0 1 0
in: 22 33 73
out: 0 0 1
in: 77 191 94
out: 0 1 0
in: 226 66 156
out: 1 0 0
in: 17 146 43
out: 0 1 0
in: 185 66 203
out: 0 0 1
in: 228 76 92
out: 1 0 0
in: 153 82 189
out: 0 0 1
in: 181 211 220
out: 0 0 1
in: 114 159 214
out: 0 0 1
in: 146 220 177
out: 0 1 0
in: 208 90 178
out: 0 0 1
in: 7 100 184
out: 0 0 1
in: 111 74 217
out: 0 0 1
in: 73 60 41
out: 0 1 0
in: 32 231 141
out: 0 1 0
in: 19 51 0
out: 0 1 0
in: 195 222 30
out: 0 1 0
in: 103 99 167
out: 0 0 1
in: 99 234 99
out: 0 1 0
in: 153 149 187
out: 0 0 1
in: 188 202 47
out: 0 1 0
in: 36 227 55
out: 0 1 0
in: 99 173 90
out: 0 1 0
in: 152 154 126
out: 0 1 0
in: 116 235 24
out: 0 1 0
in: 3 246 111
out: 0 1 0
in: 24 132 51
out: 0 1 0
in: 155 244 142
out: 0 1 0
in: 22 66 159
out: 0 0 1
in: 235 204 30
out: 0 1 0
in: 82 96 241
out: 0 0 1
in: 39 109 249
out: 0 0 1
in: 85 215 118
out: 0 1 0
in: 201 68 79
out: 1 0 0
in: 25 121 181
out: 0 0 1
in: 54 4 246
out: 0 0 1
in: 131 110 206
out: 0 0 1
in: 37 0 160
out: 0 0 1
in: 213 236 19
out: 0 1 0
in: 50 226 22
out: 0 1 0
in: 69 211 190
out: 0 1 0
in: 189 170 212
out: 0 0 1
in: 22 128 141
out: 0 0 1
in: 18 240 25
out: 0 1 0
in: 118 91 124
out: 0 0 1
in: 75 165 53
out: 0 1 0
in: 186 5 31
out: 1 0 0
in: 241 50 158
out: 1 0 0
in: 206 66 122
out: 1 0 0
in: 102 49 96
out: 0 0 1
in: 247 152 140
out: 1 0 0
in: 167 148 245
out: 0 0 1
in: 5 125 239
out: 0 0 1
in: 65 192 218
out: 0 0 1
in: 250 238 3
out: 0 1 0
in: 14 94 12
out: 0 1 0
in: 52 77 232
out: 0 0 1
in: 189 122 189
out: 0 0 1
in: 187 101 1
out: 1 0 0
in: 217 69 100
out: 1 0 0
in: 91 172 12
out: 0 1 0
in: 130 153 12
out: 0 1 0
in: 251 191 220
out: 0 0 1
in: 170 253 219
out: 0 1 0
in: 61 173 192
out: 0 0 1
in: 158 233 225
out: 0 1 0
in: 13 55 17
out: 0 1 0
in: 211 157 4
out: 0 1 0
in: 71 191 47
out: 0 1 0
in: 10 239 97
out: 0 1 0
in: 253 172 132
out: 1 0 0
in: 167 8 68
out: 1 0 0
in: 220 76 236
out: 0 0 1
in: 103 117 164
out: 0 0 1
in: 223 196 47
out: 0 1 0
in: 8 8 58
out: 0 0 1
in: 153 187 229
out: 0 0 1
in: 104 223 149
out: 0 1 0
in: 89 167 28
out: 0 1 0
in: 116 55 49
out: 1 0 0
in: 223 179 242
out: 0 0 1
in: 118 202 166
out: 0 1 0
in: 126 144 92
out: 0 1 0
in: 61 206 192
out: 0 1 0
in: 235 23 46
out: 1 0 0
in: 191 122 217
out: 0 0 1
in: 9 1 35
out: 0 0 1
in: 181 37 149
out: 1 0 0
in: 123 244 230
out: 0 1 0
in: 248 208 213
out: 0 0 1
in: 128 65 210
out: 0 0 1
in: 121 249 101
out: 0 1 0
in: 65 230 117
out: 0 1 0
in: 99 91 231
out: 0 0 1
in: 74 29 238
out: 0 0 1
in: 75 57 143
out: 0 0 1
in: 154 66 45
out: 1 0 0
in: 41 44 56
out: 0 0 1
in: 198 70 237
out: 0 0 1
in: 69 222 116
out: 0 1 0
in: 66 215 76
out: 0 1 0
in: 142 15 86
out: 1 0 0
in: 8 73 161
out: 0 0 1
in: 28 161 9
out: 0 1 0
in: 99 242 27
out: 0 1 0
in: 30 159 87
out: 0 1 0
in: 129 95 40
out: 0 1 0
in: 81 184 125
out: 0 1 0
in: 101 231 168
out: 0 1 0
in: 204 194 9
out: 0 1 0
in: 233 193 164
out: 0 1 0
in: 156 122 231
out: 0 0 1
in: 90 76 62
out: 0 1 0
in: 62 231 148
out: 0 1 0
in: 88 80 236
out: 0 0 1
in: 101 173 162
out: 0 1 0
in: 51 168 27
out: 0 1 0
in: 172 16 237
out: 0 0 1
in: 170 20 113
out: 1 0 0
in: 185 102 207
out: 0 0 1
in: 59 30 87
out: 0 0 1
in: 29 183 127
out: 0 1 0
in: 133 8 51
out: 1 0 0
in: 156 25 13
out: 1 0 0
in: 1 131 87
out: 0 1 0
in: 186 149 84
out: 0 1 0
in: 236 213 179
out: 0 1 0
in: 135 8 179
out: 0 0 1
in: 140 4 4
out: 1 0 0
in: 236 181 43
out: 0 1 0
in: 61 6 119
out: 0 0 1
in: 107 54 110
out: 0 0 1
in: 44 23 206
out: 0 0 1
in: 53 221 61
out: 0 1 0
in: 141 29 40
out: 1 0 0
in: 198 124 205
out: 0 0 1
in: 130 96 165
out: 0 0 1
in: 188 224 237
out: 0 0 1
in: 62 104 210
out: 0 0 1
in: 104 152 27
out: 0 1 0
in: 192 185 20
out: 0 1 0
in: 16 242 53
out: 0 1 0
in: 190 179 203
out: 0 0 1
in: 214 92 127
out: 1 0 0
in: 196 162 89
out: 0 1 0
in: 124 33 100
out: 1 0 0
in: 93 70 135
out: 0 0 1
in: 107 201 153
out: 0 1 0
in: 190 27 245
out: 0 0 1
in: 98 222 157
out: 0 1 0
in: 6 74 164
out: 0 0 1
in: 102 120 22
out: 0 1 0
in: 189 66 74
out: 1 0 0
in: 249 60 149
out: 1 0 0
in: 240 117 232
out: 0 0 1
in: 224 117 72
out: 1 0 0
in: 200 148 55
out: 0 1 0
in: 219 101 63
out: 1 0 0
in: 74 233 24
out: 0 1 0
in: 101 74 50
out: 0 1 0
in: 23 141 186
out: 0 0 1
in: 104 134 223
out: 0 0 1
in: 58 181 108
out: 0 1 0
in: 74 14 19
out: 1 0 0
in: 91 151 85
out: 0 1 0
in: 215 201 176
out: 0 1 0
in: 18 254 210
out: 0 1 0
in: 88 162 14
out: 0 1 0
in: 190 137 102
out: 1 0 0
in: 91 183 223
out: 0 0 1
in: 180 185 179
out: 0 1 0
in: 144 233 55
out: 0 1 0
in: 148 254 49
out: 0 1 0
in: 83 122 122
out: 0 0 1
in: 58 77 51
out: 0 1 0
in: 218 71 230
out: 0 0 1
in: 251 27 192
out: 1 0 0
in: 131 227 129
out: 0 1 0
in: 190 253 62
out: 0 1 0
in: 26 89 242
out: 0 0 1
in: 200 154 98
out: 0 1 0
in: 29 27 235
out: 0 0 1
in: 139 237 2
out: 0 1 0
in: 8 218 185
out: 0 1 0
in: 155 6 188
out: 0 0 1
in: 48 32 92
out: 0 0 1
in: 202 140 219
out: 0 0 1
in: 7 226 251
out: 0 0 1
in: 42 199 202
out: 0 0 1
in: 83 225 214
out: 0 1 0
in: 153 38 222
out: 0 0 1
in: 135 81 115
out: 0 0 1
in: 75 50 226
out: 0 0 1
in: 0 25 192
out: 0 0 1
in: 109 194 150
out: 0 1 0
in: 108 148 250
out: 0 0 1
in: 184 26 12
out: 1 0 0
in: 199 248 216
out: 0 1 0
in: 186 213 235
out: 0 0 1
in: 216 153 69
out: 0 1 0
in: 139 216 37
out: 0 1 0
in: 61 110 52
out: 0 1 0
in: 243 87 248
out: 0 0 1
in: 66 90 104
out: 0 0 1
in: 82 151 219
out: 0 0 1
in: 117 5 38
out: 1 0 0
in: 50 60 207
out: 0 0 1
in: 251 0 171
out: 1 0 0
in: 232 221 44
out: 0 1 0
in: 64 126 48
out: 0 1 0
in: 179 107 176
out: 0 0 1
in: 203 38 197
out: 0 0 1
in: 221 223 0
out: 0 1 0
in: 137 64 7
out: 1 0 0
in: 13 140 240
out: 0 0 1
in: 58 249 144
out: 0 1 0
in: 29 11 213
out: 0 0 1
in: 177 151 121
out: 0 1 0
in: 242 124 149
out: 1 0 0
in: 159 33 179
out: 0 0 1
in: 194 231 251
out: 0 0 1
in: 29 35 52
out: 0 0 1
in: 250 107 12
out: 1 0 0
in: 185 236 210
out: 0 1 0
in: 217 245 254
out: 0 0 1
in: 225 152 253
out: 0 0 1
in: 35 49 103
out: 0 0 1
in: 32 164 26
out: 0 1 0
in: 4 182 139
out: 0 1 0
in: 89 32 101
out: 0 0 1
in: 92 20 193
out: 0 0 1
in: 114 177 144
out: 0 1 0
in: 198 125 147
out: 1 0 0
in: 118 56 6
out: 1 0 0
in: 204 206 159
out: 0 1 0
in: 246 229 196
out: 0 1 0
in: 139 247 86
out: 0 1 0
in: 125 112 52
out: 0 1 0
in: 152 240 183
out: 0 1 0
in: 25 196 220
out: 0 0 1
in: 169 204 112
out: 0 1 0
in: 252 135 13
out: 1 0 0
in: 32 17 66
out: 0 0 1
in: 143 99 175
out: 0 0 1
in: 87 167 159
out: 0 1 0
in: 189 68 239
out: 0 0 1
in: 136 160 123
out: 0 1 0
in: 119 41 9
out: 1 0 0
in: 171 93 217
out: 0 0 1
in: 247 181 33
out: 0 1 0
in: 72 53 96
out: 0 0 1
in: 61 7 117
out: 0 0 1
in: 97 239 41
out: 0 1 0
in: 210 168 224
out: 0 0 1
in: 70 107 87
out: 0 1 0
in: 70 61 84
out: 0 0 1
in: 19 121 32
out: 0 1 0
in: 53 58 64
out: 0 0 1
in: 148 176 209
out: 0 0 1
in: 15 100 154
out: 0 0 1
in: 85 16 184
out: 0 0 1
in: 75 127 104
out: 0 1 0
in: 234 203 59
out: 0 1 0
in: 100 76 50
out: 0 1 0
in: 126 94 36
out: 0 1 0
in: 42 98 252
out: 0 0 1
in: 215 83 30
out: 1 0 0
in: 189 224 23
out: 0 1 0
in: 11 117 246
out: 0 0 1
in: 209 210 109
out: 0 1 0
in: 24 31 112
out: 0 0 1
in: 39 81 98
out: 0 0 1
in: 105 16 37
out: 1 0 0
in: 111 67 246
out: 0 0 1
in: 38 157 191
out: 0 0 1
in: 183 19 92
out: 1 0 0
in: 140 175 150
out: 0 1 0
in: 24 235 139
out: 0 1 0
in: 190 36 179
out: 0 0 1
in: 236 2 184
out: 1 0 0
in: 185 114 177
out: 0 0 1
in: 204 223 251
out: 0 0 1
in: 193 17 36
out: 1 0 0
in: 197 253 14
out: 0 1 0
in: 122 55 226
out: 0 0 1
in: 209 170 216
out: 0 0 1
in: 218 114 139
out: 1 0 0
in: 95 105 4
out: 0 1 0
in: 38 251 120
out: 0 1 0
in: 71 135 4
out: 0 1 0
in: 141 227 186
out: 0 1 0
in: 235 115 99
out: 1 0 0
in: 106 138 53
out: 0 1 0
in: 56 182 249
out: 0 0 1
in: 160 229 155
out: 0 1 0
in: 104 181 19
out: 0 1 0
in: 216 135 149
out: 1 0 0
in: 18 241 190
out: 0 1 0
in: 67 148 237
out: 0 0 1
in: 220 202 241
out: 0 0 1
in: 232 183 194
out: 0 0 1
in: 244 100 96
out: 1 0 0
in: 20 186 174
out: 0 1 0
in: 32 111 135
out: 0 0 1
in: 202 67 41
out: 1 0 0
in: 129 54 190
out: 0 0 1
in: 244 127 188
out: 1 0 0
in: 101 247 79
out: 0 1 0
in: 121 113 166
